listing_id,host_id,rating,price,revenue
1,190,4.4,85,1530
2,157,3.2,196,5096
3,142,4.3,98,2548
4,112,4.0,77,1848
5,189,3.6,165,4455
6,104,4.3,87,2262
7,145,3.3,74,1110
8,188,3.1,101,2222
9,198,4.9,134,1474
10,181,3.3,95,2565
11,122,4.0,188,2444
12,186,4.5,137,1644
13,155,3.9,137,2877
14,111,3.2,137,3288
15,199,3.5,81,1620
16,187,3.5,135,3645
17,139,3.5,84,1512
18,138,4.7,51,714
19,109,4.1,175,1750
20,189,3.8,94,1692
21,151,4.9,172,2064
22,125,4.3,106,1696
23,122,3.0,110,2530
24,131,4.9,96,1248
25,103,3.5,129,3741
26,175,3.4,81,2430
27,194,4.8,139,3336
28,184,4.8,75,2100
29,103,3.1,79,1501
30,152,3.1,199,5572
31,143,4.4,90,2340
32,125,5.0,70,1610
33,155,3.8,171,4617
34,198,4.1,149,2384
35,175,3.9,183,2562
36,153,4.4,113,3277
37,101,3.1,106,1378
38,138,3.5,96,2784
39,133,3.4,84,1092
40,128,4.5,162,3888
41,148,3.6,89,2225
42,160,4.2,104,2600
43,102,3.4,134,3618
44,105,4.9,56,784
45,157,3.4,137,3699
46,135,4.3,197,2167
47,168,4.7,143,3861
48,129,3.0,155,4650
49,101,4.5,89,2581
50,189,4.0,107,2889
51,197,4.3,135,1620
52,181,3.1,145,2320
53,184,4.6,167,2004
54,137,3.4,70,1890
55,140,4.4,167,4175
56,133,4.8,187,5049
57,134,4.8,167,2004
58,175,4.1,70,1400
59,183,4.9,140,2100
60,163,4.4,53,954
61,141,3.1,77,2002
62,172,4.4,65,1625
63,185,3.7,183,3111
64,104,3.1,52,884
65,191,4.3,88,2376
66,115,3.5,162,1782
67,169,4.9,90,2160
68,125,4.6,96,1344
69,135,4.8,152,1824
70,139,4.4,64,1152
71,179,4.5,95,1710
72,154,4.4,170,2720
73,157,3.3,106,2862
74,148,4.9,119,2261
75,197,3.6,133,2660
76,162,3.6,149,1490
77,128,3.8,130,2340
78,177,4.5,139,4031
79,197,3.0,155,4495
80,166,3.3,53,1166
81,104,3.7,118,1770
82,120,3.6,72,1656
83,133,3.6,79,1659
84,120,4.9,128,2432
85,177,4.6,108,2808
86,107,3.6,149,3427
87,108,5.0,190,3230
88,117,4.9,174,4524
89,103,3.7,174,3654
90,133,3.9,111,2553
91,185,3.6,80,880
92,165,5.0,67,1876
93,176,4.9,118,3422
94,169,4.1,115,2415
95,110,3.8,125,3125
96,114,4.6,98,1568
97,196,4.1,170,1700
98,188,4.2,124,2728
99,141,4.1,121,1331
100,174,3.0,188,4324
101,126,3.5,60,1020
102,145,4.5,65,1495
103,133,3.1,123,2337
104,119,3.3,130,3510
105,199,3.8,145,1885
106,189,3.6,142,2556
107,143,3.2,199,4179
108,168,4.4,184,2576
109,196,4.9,57,1596
110,114,4.2,172,4816
111,132,3.8,127,1397
112,161,3.2,106,2438
113,144,4.9,96,2784
114,189,3.8,154,3388
115,149,4.0,174,4698
116,189,4.2,68,1632
117,144,4.0,121,1815
118,190,5.0,125,1750
119,126,3.5,80,1600
120,109,3.3,75,825
121,149,4.4,112,2800
122,107,4.6,200,4800
123,149,4.4,123,1599
124,141,4.6,121,2299
125,109,3.9,68,1360
126,196,3.3,65,1170
127,149,4.2,78,2184
128,137,3.4,183,3294
129,153,4.7,140,4200
130,106,3.1,51,1071
131,113,4.7,150,1650
132,178,5.0,70,1680
133,175,3.1,63,1260
134,151,4.2,141,1410
135,103,3.3,159,2067
136,113,3.4,197,5122
137,162,3.9,110,1870
138,184,4.3,64,1024
139,181,4.2,199,3383
140,173,4.7,181,2172
141,185,4.8,73,1314
142,146,4.3,144,4032
143,183,3.5,89,2047
144,175,4.2,94,2444
145,179,4.5,116,2320
146,192,4.8,130,1300
147,145,4.9,72,1368
148,118,3.9,177,2124
149,137,4.7,141,2538
150,102,3.2,79,1185
151,107,3.3,117,2340
152,131,3.6,176,4400
153,127,4.2,173,2595
154,132,3.9,92,1196
155,102,3.9,83,1162
156,173,4.8,72,1800
157,133,4.3,70,1820
158,139,4.2,85,2210
159,104,4.4,75,825
160,149,4.5,73,803
161,135,4.2,193,5597
162,160,3.9,93,1860
163,114,4.2,189,4536
164,155,3.4,66,990
165,157,3.8,126,3528
166,193,4.8,192,1920
167,155,4.5,69,1173
168,164,3.9,124,3100
169,117,3.5,167,2505
170,155,3.7,81,1863
171,115,5.0,86,1204
172,133,4.4,161,2254
173,136,3.3,67,1005
174,158,4.0,163,1956
175,129,3.9,155,2325
176,167,4.9,86,1376
177,180,4.4,93,1953
178,129,4.7,67,1675
179,142,4.9,125,3250
180,139,3.2,100,1000
181,129,3.2,160,2880
182,145,4.0,124,2604
183,161,3.8,85,935
184,130,3.4,62,1426
185,133,4.9,164,1640
186,116,3.5,53,530
187,165,4.5,64,1472
188,167,5.0,108,1188
189,133,4.5,50,1150
190,107,3.5,56,896
191,178,3.9,50,1500
192,151,3.0,138,3864
193,147,3.5,136,1632
194,200,4.6,71,1775
195,183,4.3,192,2688
196,165,3.8,196,3528
197,113,3.3,193,5018
198,191,4.4,84,2100
199,132,5.0,77,770
200,114,4.9,101,1212
201,112,3.5,152,3800
202,171,3.9,98,1470
203,171,4.8,126,1764
204,153,4.8,117,1521
205,171,3.3,101,1717
206,141,3.8,54,594
207,178,3.4,74,1110
208,151,4.2,55,990
209,125,3.4,161,1932
210,130,3.3,102,1326
211,193,4.4,145,3915
212,177,3.4,126,1890
213,151,4.0,116,2320
214,171,4.8,112,1904
215,148,3.6,123,3321
216,166,4.8,130,2730
217,133,5.0,130,2860
218,166,3.2,169,2873
219,126,5.0,134,3216
220,134,4.7,159,2862
221,146,4.8,160,3520
222,156,3.9,184,3680
223,141,5.0,150,4050
224,198,4.5,155,3565
225,198,3.6,54,1026
226,183,3.6,95,2660
227,182,4.9,57,969
228,154,4.1,65,975
229,199,3.1,91,1911
230,102,3.1,127,1270
231,106,3.9,185,5550
232,102,3.5,132,2904
233,140,3.3,125,1625
234,145,3.1,61,1830
235,110,3.2,142,2272
236,143,3.9,60,1320
237,136,5.0,131,2358
238,165,4.0,117,2457
239,149,4.3,99,1980
240,198,3.8,83,1660
241,149,3.4,82,2050
242,120,3.4,81,2268
243,151,3.2,90,2610
244,135,3.9,76,1900
245,138,4.3,54,1026
246,140,4.1,134,2010
247,115,3.3,91,2366
248,130,3.8,191,5539
249,133,4.6,199,4776
250,128,4.3,79,1659
251,121,4.3,189,4725
252,160,5.0,146,3796
253,193,3.3,163,4238
254,139,4.4,114,2736
255,140,3.3,93,2604
256,160,3.1,66,924
257,184,3.9,189,3591
258,138,3.9,164,3116
259,171,4.4,99,1089
260,185,3.9,83,1494
261,191,3.3,155,1705
262,123,3.1,106,1908
263,169,3.5,154,2156
264,179,4.2,178,1958
265,125,4.3,198,2574
266,110,3.0,70,980
267,159,4.1,126,3528
268,101,4.1,61,1403
269,161,4.7,109,2071
270,195,4.3,180,3420
271,124,3.4,198,3168
272,141,4.8,132,2640
273,200,3.4,100,2000
274,190,3.1,78,1404
275,114,4.9,183,2745
276,166,3.3,90,2160
277,124,4.5,155,4495
278,142,4.6,186,4464
279,126,3.2,58,1624
280,117,3.9,107,3103
281,171,3.8,65,1690
282,177,4.4,191,5730
283,134,3.2,92,1840
284,150,5.0,58,1682
285,121,4.8,141,2679
286,191,3.2,82,1066
287,107,4.5,191,5348
288,115,4.5,94,2726
289,174,4.0,199,4975
290,185,3.7,143,2431
291,166,4.3,153,3366
292,199,3.2,186,2046
293,185,4.0,96,1344
294,119,4.5,92,2760
295,147,5.0,97,2716
296,120,3.8,196,3528
297,113,4.2,66,1914
298,156,3.1,85,1785
299,150,3.8,81,1620
300,111,4.6,104,1664
301,114,4.0,160,3520
302,198,3.7,130,1300
303,152,3.9,163,4890
304,151,5.0,152,2128
305,156,3.4,99,2376
306,105,3.2,135,2835
307,109,3.0,187,2992
308,200,3.8,71,852
309,160,4.8,65,1690
310,177,4.2,111,1998
311,150,4.0,181,2896
312,103,4.7,126,1890
313,177,4.5,130,2470
314,156,4.6,192,3648
315,120,3.0,51,663
316,113,4.6,86,1978
317,130,3.1,153,4284
318,107,4.4,178,5162
319,121,3.5,62,1302
320,127,4.7,119,3332
321,162,4.4,104,1352
322,152,3.9,66,924
323,173,4.8,63,1071
324,184,4.2,146,3796
325,160,4.0,57,684
326,109,3.7,66,1782
327,119,4.1,158,3002
328,196,5.0,99,1881
329,196,4.1,106,2756
330,145,4.7,115,1725
331,182,3.7,87,1044
332,167,4.4,180,2340
333,110,5.0,56,1568
334,145,3.4,118,2006
335,156,4.3,55,1155
336,123,3.6,135,2025
337,177,4.1,76,2128
338,200,4.7,81,972
339,125,3.4,129,2322
340,178,4.7,90,1350
341,188,4.9,77,2002
342,176,4.8,175,2800
343,105,3.2,78,2184
344,126,3.9,186,4092
345,169,3.1,167,2004
346,112,3.2,56,1624
347,193,3.9,169,2028
348,148,4.2,145,2030
349,115,3.7,153,2295
350,168,4.3,108,2700
351,144,3.6,163,2445
352,184,4.6,52,1248
353,106,4.7,165,2640
354,101,4.8,74,1776
355,120,3.9,62,868
356,170,3.9,185,5550
357,114,3.0,145,3915
358,113,4.2,158,3792
359,158,4.3,180,2700
360,127,4.3,112,1680
361,148,4.2,192,5568
362,180,3.3,196,3724
363,141,4.1,80,2400
364,108,3.5,196,5292
365,111,4.5,110,1540
366,178,3.8,128,1536
367,164,3.5,157,3454
368,111,4.8,199,1990
